Scenario,Dollar.Year
battery_ATB_2019_high,2017
battery_ATB_2019_low,2017
battery_ATB_2019_mid,2017
battery_ATB_2020_advanced,2018
battery_ATB_2020_conservative,2018
battery_ATB_2020_moderate,2018
battery_ATB_2021_advanced,2019
battery_ATB_2021_conservative,2019
battery_ATB_2021_moderate,2019
beccs_lowcost,2010
beccs_reference,2010
beccs_BVRE_2021_low,2019
beccs_BVRE_2021_mid,2019
beccs_BVRE_2021_high,2019
caes_reference,2016
ccsflex_ATB_2020,2019
conv_ATB_2019,2018
conv_ATB_2019_low_nuclear_cost,2018
conv_ATB_2020,2019
conv_ATB_2020_low_ccs_cost,2019
conv_ATB_2020_low_nuclear_cost,2019
conv_ATB_2021,2019
conv_ATB_2021_low_smr,2019
conv_ATB_2021_very_low_smr,2019
conv_ATB_2021_low_ccs_cost,2019
conv_ATB_2021_low_nuclear_and_ccs_cost,2019
conv_ATB_2021_low_nuclear_cost,2019
conv_ATB_2021_CCS_95,2019
conv_ATB_2021_CCS_99,2019
csp_ATB_2019_constant,2017
csp_ATB_2019_low,2017
csp_ATB_2019_mid,2017
csp_ATB_2020_advanced,2018
csp_ATB_2020_conservative,2018
csp_ATB_2020_moderate,2018
csp_ATB_2021_advanced,2019
csp_ATB_2021_conservative,2019
csp_ATB_2021_moderate,2019
csp_SunShot2030,2017
ofs-wind_ATB_2020_advanced,2018
ofs-wind_ATB_2020_conservative,2018
ofs-wind_ATB_2020_moderate,2018
ofs-wind_ATB_2021_advanced,2019
ofs-wind_ATB_2021_conservative,2019
ofs-wind_ATB_2021_moderate,2019
ons-wind_ATB_2020_advanced,2018
ons-wind_ATB_2020_conservative,2018
ons-wind_ATB_2020_moderate,2018
ons-wind_ATB_2021_advanced,2019
ons-wind_ATB_2021_conservative,2019
ons-wind_ATB_2021_moderate,2019
re-ct_ATB_2020,2019
re-ct_ATB_2021,2019
upv_ATB_2019_constant,2017
upv_ATB_2019_low,2017
upv_ATB_2019_mid,2017
upv_ATB_2020_advanced,2018
upv_ATB_2020_breakthrough,2018
upv_ATB_2020_conservative,2018
upv_ATB_2020_moderate,2018
upv_ATB_2021_advanced,2019
upv_ATB_2021_conservative,2019
upv_ATB_2021_moderate,2019
wind_ATB_2019_constant,2017
wind_ATB_2019_low,2017
wind_ATB_2019_mid,2017
wind_ATB_2019_mid-land_constant-offshore,2017
wind_ATB_2019_mid-land_low-offshore,2017
wind_ATB_2020_moderate-land_advanced-offshore,2018
wind_ATB_2020_moderate-land_conservative-offshore,2018
dr_test,2020
dr_none,2020
dr_Baseline,2020
dr_ControlsOnly,2020
dr_EnvelopeOnly,2020
dr_EnvelopePlusControls,2020
dr_EnvelopePlusControlsPlusEquipment,2020
dr_EquipmentOnly,2020
dr_Baseline_shift,2020
dr_ControlsOnly_shift,2020
dr_EnvelopeOnly_shift,2020
dr_EnvelopePlusControls_shift,2020
dr_EnvelopePlusControlsPlusEquipment_shift,2020
dr_EquipmentOnly_shift,2020
dr_Baseline_shed,2020
dr_ControlsOnly_shed,2020
dr_EnvelopeOnly_shed,2020
dr_EnvelopePlusControls_shed,2020
dr_EnvelopePlusControlsPlusEquipment_shed,2020
dr_EquipmentOnly_shed,2020
csp_ATB_2022_advanced,2020
csp_ATB_2022_conservative,2020
csp_ATB_2022_moderate,2020
ofs-wind_ATB_2022_advanced_rsc_mult,2020
ofs-wind_ATB_2022_conservative_rsc_mult,2020
ofs-wind_ATB_2022_moderate_rsc_mult,2020
ons-wind_ATB_2022_conservative,2020
ons-wind_ATB_2022_advanced,2020
ons-wind_ATB_2022_moderate,2020
ofs-wind_ATB_2022_conservative,2020
ofs-wind_ATB_2022_advanced,2020
ofs-wind_ATB_2022_moderate,2020
geo_ATB_2022_advanced_FOM,2020
geo_ATB_2022_conservative_FOM,2020
geo_ATB_2022_moderate_FOM,2020
conv_ATB_2022,2020
conv_ATB_2022_low_nuclear_and_ccs_cost,2020
geo_ATB_2022_advanced,2020
geo_ATB_2022_conservative,2020
geo_ATB_2022_moderate,2020
battery_ATB_2022_advanced,2020
battery_ATB_2022_conservative,2020
battery_ATB_2022_moderate,2020
upv_ATB_2022_advanced,2020
upv_ATB_2022_conservative,2020
upv_ATB_2022_moderate,2020
re-ct_ATB_2022,2020
ofs-wind_ATB_2022_conservative_noFloating,2020
ofs-wind_ATB_2022_advanced_noFloating,2020
ofs-wind_ATB_2022_moderate_noFloating,2020
