Scenario,Dollar.Year
battery_ATB_2023_advanced,2021
battery_ATB_2023_conservative,2021
battery_ATB_2023_moderate,2021
battery_ATB_2024_advanced,2022
battery_ATB_2024_conservative,2022
battery_ATB_2024_moderate,2022
beccs_BVRE_2021_high,2019
beccs_BVRE_2021_low,2019
beccs_BVRE_2021_mid,2019
beccs_lowcost,2010
beccs_reference,2010
biopower_ATB_2024_moderate,2022
caes_reference,2016
ccsflex_ATB_2020,2019
coal_ATB_2024_moderate,2022
coal-ccs_ATB_2024_advanced,2022
coal-ccs_ATB_2024_conservative,2022
coal-ccs_ATB_2024_moderate,2022
csp_ATB_2023_advanced,2021
csp_ATB_2023_conservative,2021
csp_ATB_2023_moderate,2021
csp_ATB_2024_advanced,2022
csp_ATB_2024_conservative,2022
csp_ATB_2024_moderate,2022
csp_SunShot2030,2017
evmc_shape_Baseline,2020
evmc_storage_Baseline,2020
gas_ATB_2024_moderate,2022
gas-ccs_ATB_2024_advanced,2022
gas-ccs_ATB_2024_conservative,2022
gas-ccs_ATB_2024_moderate,2022
geo_ATB_2023_advanced,2020
geo_ATB_2023_conservative,2020
geo_ATB_2023_moderate,2020
geo_ATB_2024_advanced,2021
geo_ATB_2024_conservative,2021
geo_ATB_2024_moderate,2021
h2-combustion_ATB_2023,2021
h2-combustion_ATB_2024,2022
nuclear_ATB_2024_advanced,2022
nuclear_ATB_2024_conservative,2022
nuclear_ATB_2024_moderate,2022
nuclear-smr_ATB_2024_advanced,2022
nuclear-smr_ATB_2024_conservative,2022
nuclear-smr_ATB_2024_moderate,2022
ofs-wind_ATB_2023_advanced,2021
ofs-wind_ATB_2023_conservative,2021
ofs-wind_ATB_2023_moderate_noFloating,2021
ofs-wind_ATB_2023_moderate,2021
ofs-wind_ATB_2024_advanced,2022
ofs-wind_ATB_2024_conservative,2022
ofs-wind_ATB_2024_moderate_noFloating,2022
ofs-wind_ATB_2024_moderate,2022
ons-wind_ATB_2023_advanced,2021
ons-wind_ATB_2023_conservative,2021
ons-wind_ATB_2023_moderate,2021
ons-wind_ATB_2024_advanced,2022
ons-wind_ATB_2024_conservative,2022
ons-wind_ATB_2024_moderate,2022
other_plantchar,2022
upv_ATB_2023_advanced,2021
upv_ATB_2023_conservative,2021
upv_ATB_2023_moderate,2021
upv_ATB_2024_advanced,2022
upv_ATB_2024_conservative,2022
upv_ATB_2024_moderate,2022
