*i,t,parameter,value
SMR,2010,cost_cap,557.4
SMR,2011,cost_cap,557.4
SMR,2012,cost_cap,557.4
SMR,2013,cost_cap,557.4
SMR,2014,cost_cap,557.4
SMR,2015,cost_cap,557.4
SMR,2016,cost_cap,557.4
SMR,2017,cost_cap,557.4
SMR,2018,cost_cap,557.4
SMR,2019,cost_cap,557.4
SMR,2020,cost_cap,557.4
SMR,2021,cost_cap,556.5201408
SMR,2022,cost_cap,555.6402816
SMR,2023,cost_cap,554.7604224
SMR,2024,cost_cap,553.8805633
SMR,2025,cost_cap,553.0007041
SMR,2026,cost_cap,552.1208449
SMR,2027,cost_cap,551.2409857
SMR,2028,cost_cap,550.3611265
SMR,2029,cost_cap,549.4812673
SMR,2030,cost_cap,548.6014081
SMR,2031,cost_cap,547.7215489
SMR,2032,cost_cap,546.8416898
SMR,2033,cost_cap,545.9618306
SMR,2034,cost_cap,545.0819714
SMR,2035,cost_cap,544.3939945
SMR,2036,cost_cap,543.7060176
SMR,2037,cost_cap,543.0180407
SMR,2038,cost_cap,542.3300638
SMR,2039,cost_cap,541.642087
SMR,2040,cost_cap,540.9541101
SMR,2041,cost_cap,540.2661332
SMR,2042,cost_cap,539.5781563
SMR,2043,cost_cap,538.8901794
SMR,2044,cost_cap,538.2022025
SMR,2045,cost_cap,537.5142256
SMR,2046,cost_cap,536.8262487
SMR,2047,cost_cap,536.1382719
SMR,2048,cost_cap,535.450295
SMR,2049,cost_cap,534.7623181
SMR,2050,cost_cap,534.0743412
SMR_CCS,2010,cost_cap,1209.721672
SMR_CCS,2011,cost_cap,1209.721672
SMR_CCS,2012,cost_cap,1209.721672
SMR_CCS,2013,cost_cap,1209.721672
SMR_CCS,2014,cost_cap,1209.721672
SMR_CCS,2015,cost_cap,1209.721672
SMR_CCS,2016,cost_cap,1209.721672
SMR_CCS,2017,cost_cap,1209.721672
SMR_CCS,2018,cost_cap,1209.721672
SMR_CCS,2019,cost_cap,1209.721672
SMR_CCS,2020,cost_cap,1209.721672
SMR_CCS,2021,cost_cap,1200.043899
SMR_CCS,2022,cost_cap,1190.366125
SMR_CCS,2023,cost_cap,1180.688352
SMR_CCS,2024,cost_cap,1171.010579
SMR_CCS,2025,cost_cap,1161.332805
SMR_CCS,2026,cost_cap,1151.655032
SMR_CCS,2027,cost_cap,1141.977258
SMR_CCS,2028,cost_cap,1132.299485
SMR_CCS,2029,cost_cap,1122.621712
SMR_CCS,2030,cost_cap,1112.943938
SMR_CCS,2031,cost_cap,1103.266165
SMR_CCS,2032,cost_cap,1093.588392
SMR_CCS,2033,cost_cap,1083.910618
SMR_CCS,2034,cost_cap,1074.232845
SMR_CCS,2035,cost_cap,1064.555071
SMR_CCS,2036,cost_cap,1064.555071
SMR_CCS,2037,cost_cap,1064.555071
SMR_CCS,2038,cost_cap,1064.555071
SMR_CCS,2039,cost_cap,1064.555071
SMR_CCS,2040,cost_cap,1064.555071
SMR_CCS,2041,cost_cap,1064.555071
SMR_CCS,2042,cost_cap,1064.555071
SMR_CCS,2043,cost_cap,1064.555071
SMR_CCS,2044,cost_cap,1064.555071
SMR_CCS,2045,cost_cap,1064.555071
SMR_CCS,2046,cost_cap,1064.555071
SMR_CCS,2047,cost_cap,1064.555071
SMR_CCS,2048,cost_cap,1064.555071
SMR_CCS,2049,cost_cap,1064.555071
SMR_CCS,2050,cost_cap,1064.555071
electrolyzer,2010,cost_cap,1750
electrolyzer,2011,cost_cap,1750
electrolyzer,2012,cost_cap,1750
electrolyzer,2013,cost_cap,1750
electrolyzer,2014,cost_cap,1750
electrolyzer,2015,cost_cap,1750
electrolyzer,2016,cost_cap,1750
electrolyzer,2017,cost_cap,1750
electrolyzer,2018,cost_cap,1750
electrolyzer,2019,cost_cap,1750
electrolyzer,2020,cost_cap,1750
electrolyzer,2021,cost_cap,1750
electrolyzer,2022,cost_cap,1750
electrolyzer,2023,cost_cap,1600
electrolyzer,2024,cost_cap,1450
electrolyzer,2025,cost_cap,1300
electrolyzer,2026,cost_cap,1150
electrolyzer,2027,cost_cap,1000
electrolyzer,2028,cost_cap,850
electrolyzer,2029,cost_cap,700
electrolyzer,2030,cost_cap,550
electrolyzer,2031,cost_cap,550
electrolyzer,2032,cost_cap,550
electrolyzer,2033,cost_cap,550
electrolyzer,2034,cost_cap,550
electrolyzer,2035,cost_cap,550
electrolyzer,2036,cost_cap,550
electrolyzer,2037,cost_cap,550
electrolyzer,2038,cost_cap,550
electrolyzer,2039,cost_cap,550
electrolyzer,2040,cost_cap,550
electrolyzer,2041,cost_cap,550
electrolyzer,2042,cost_cap,550
electrolyzer,2043,cost_cap,550
electrolyzer,2044,cost_cap,550
electrolyzer,2045,cost_cap,550
electrolyzer,2046,cost_cap,550
electrolyzer,2047,cost_cap,550
electrolyzer,2048,cost_cap,550
electrolyzer,2049,cost_cap,550
electrolyzer,2050,cost_cap,550
SMR,2010,fom,17.9
SMR,2011,fom,17.9
SMR,2012,fom,17.9
SMR,2013,fom,17.9
SMR,2014,fom,17.9
SMR,2015,fom,17.9
SMR,2016,fom,17.9
SMR,2017,fom,17.9
SMR,2018,fom,17.9
SMR,2019,fom,17.9
SMR,2020,fom,17.9
SMR,2021,fom,17.87174474
SMR,2022,fom,17.84348949
SMR,2023,fom,17.81523423
SMR,2024,fom,17.78697898
SMR,2025,fom,17.75872372
SMR,2026,fom,17.73046847
SMR,2027,fom,17.70221321
SMR,2028,fom,17.67395796
SMR,2029,fom,17.6457027
SMR,2030,fom,17.61744744
SMR,2031,fom,17.58919219
SMR,2032,fom,17.56093693
SMR,2033,fom,17.53268168
SMR,2034,fom,17.50442642
SMR,2035,fom,17.48233316
SMR,2036,fom,17.46023989
SMR,2037,fom,17.43814663
SMR,2038,fom,17.41605336
SMR,2039,fom,17.39396009
SMR,2040,fom,17.37186683
SMR,2041,fom,17.34977356
SMR,2042,fom,17.3276803
SMR,2043,fom,17.30558703
SMR,2044,fom,17.28349377
