reeds.category,Type,Gen.Type,Plot.Color,Gen.Order,NonFossil,Focus.Regions,reeds.states,json.states,lon,lat
CCGT-GAS,Gas CC,Curtailment,#E1E1E1,Imports,Solar PV,Andhra_Pradesh,Andhra_Pradesh,Andhra Pradesh,83.3,17.73
COGENERATION-BAGASSE,Cogeneration-Bagasse,Diesel,#853D65,Curtailment,Onshore Wind,Arunachal_Pradesh,Arunachal_Pradesh,Arunachal Pradesh,94.67515241,28.03873074
CT-GAS,Gas CT,Gas CC,#52216B,BESS,Offshore Wind,Assam,Assam,Assam,91.75,26.19
DIESEL,Diesel,Gas CT,#C2A1DB,BESS 1hr,Other,Bihar,Bihar,Bihar,85.13,25.62
DISTPV,Solar PV,Hydro,#187F94,BESS 2hr,Hydro,Chandigarh,Chandigarh,Chandigarh,76.78,30.75
HYDRO-PONDAGE,Hydro,Nuclear,#820000,BESS 4hr,Nuclear,Chhattisgarh,Chhattisgarh,Chhattisgarh,81.63,21.24
HYDRO-PUMPED,Pumped hydro,Cogeneration-Bagasse,#A96235,BESS 6hr,H2-CT,Dadra_Nagar_Haveli,Dadra_Nagar_Haveli,Dadra & Nagar Haveli,73.04129962,20.19528089
HYDRO-ROR,Hydro,Subcritical-Oil,#734d62,BESS 8hr,H2-CC,Daman_Diu,Daman_Diu,Daman & Diu,70.94869266,20.71330172
HYDRO-STORAGE,Hydro,WHR,#cc2f2f,BESS 10hr,,Delhi,Delhi,Delhi,77.21,28.67
NUCLEAR,Nuclear,Pumped hydro,darkblue,Pumped hydro,,DVC,DVC,DVC,85.98,23.96
SUBCRITICAL-COAL,Sub-Coal,Solar PV,#FFC903,Solar PV,,Goa,Goa,Goa,73.94,15.28
SUBCRITICAL-LIGNITE,Sub-Coal,Sub-Coal,#222222,Onshore Wind,,Gujarat,Gujarat,Gujarat,72.58,23.03
SUBCRITICAL-OIL,Other,Super-Coal,#525352,Offshore Wind,,Haryana,Haryana,Haryana,77.3,28.38
SUPERCRITICAL-COAL,Super-Coal,Onshore Wind,#00B6EF,Cogeneration-Bagasse,,Himachal_Pradesh,Himachal_Pradesh,Himachal Pradesh,77.16,31.11
UPV,Solar PV,Offshore Wind,#106BA7,Subcritical-Oil,,Jammu_Kashmir,Jammu_Kashmir,Jammu & Kashmir,74.85,32.72
WHR,Other,BESS,#FF4A88,WHR,,Jharkhand,Jharkhand,Jharkhand,85.33,23.36
ONSWIND,Onshore Wind,BESS 1hr,#FF7FBB,Hydro,,Karnataka,Karnataka,Karnataka,77.56,12.97
OFSWIND,Offshore Wind,BESS 2hr,#CC0079,Naptha,,Kerala,Kerala,Kerala,76.95,8.51
BATTERY,BESS,BESS 4hr,#FF6882,Diesel,,Ladakh,Ladakh,Ladakh,77.35,34.09
BATTERY_1,BESS 1hr,BESS 6hr,#DF5282,Gas CT,,Madhya_Pradesh,Madhya_Pradesh,Madhya Pradesh,75.86,22.72
BATTERY_2,BESS 2hr,BESS 8hr,#CC015C,Gas CC,,Maharashtra,Maharashtra,Maharashtra,72.82,18.96
BATTERY_4,BESS 4hr,BESS 10hr,#9B014F,Super-Coal,,Manipur,Manipur,Manipur,93.94,24.79
BATTERY_6,BESS 6hr,H2-CT,#A8C839,Sub-Coal,,Meghalaya,Meghalaya,Meghalaya,91.87,25.57
BATTERY_8,BESS 8hr,H2-CC,#708238,Nuclear,,Mizoram,Mizoram,Mizoram,92.71,23.71
BATTERY_10,BESS 10hr,Imports,#A1A7B5,H2-CT,,Nagaland,Nagaland,Nagaland,93.73,25.92
NEPAL_STORAGE,Imports,,,H2-CC,,Odisha,Odisha,Odisha,85.84,20.27
H2-CT,H2-CT,,,,,Puducherry,Puducherry,Puducherry,79.77,11.94
H2-CC,H2-CC,,,,,Punjab,Punjab,Punjab,75.84,30.91
,,,,,,Rajasthan,Rajasthan,Rajasthan,75.8,26.92
,,,,,,Sikkim,Sikkim,Sikkim,88.4727118,27.57167144
,,,,,,Tamil_Nadu,Tamil_Nadu,Tamil Nadu,80.27,13.09
,,,,,,Telangana,Telangana,Telangana,78.48,17.4
,,,,,,Tripura,Tripura,Tripura,91.27,23.84
,,,,,,Uttar_Pradesh,Uttar_Pradesh,Uttar Pradesh,80.33,26.47
,,,,,,Uttarakhand,Uttarakhand,Uttarakhand,78.05,30.34
,,,,,,West_Bengal,West_Bengal,West Bengal,88.36,22.57
