r,tech,bin,year,var,value
p10,evmc_shape_1,bin1,2010,Cost,1000000
p10,evmc_shape_1,bin1,2020,Cost,1000000
p10,evmc_shape_1,bin1,2025,Cost,1000000
p10,evmc_shape_1,bin1,2030,Cost,1000000
p10,evmc_shape_1,bin1,2035,Cost,1000000
p10,evmc_shape_1,bin1,2040,Cost,1000000
p10,evmc_shape_1,bin2,2010,Cost,1000000
p10,evmc_shape_1,bin2,2020,Cost,1000000
p10,evmc_shape_1,bin2,2025,Cost,1000000
p10,evmc_shape_1,bin2,2030,Cost,1000000
p10,evmc_shape_1,bin2,2035,Cost,1000000
p10,evmc_shape_1,bin2,2040,Cost,1000000
p10,evmc_shape_1,bin3,2010,Cost,1000000
p10,evmc_shape_1,bin3,2020,Cost,1000000
p10,evmc_shape_1,bin3,2025,Cost,1000000
p10,evmc_shape_1,bin3,2030,Cost,1000000
p10,evmc_shape_1,bin3,2035,Cost,1000000
p10,evmc_shape_1,bin3,2040,Cost,1000000
p10,evmc_shape_1,bin4,2010,Cost,1000000
p10,evmc_shape_1,bin4,2020,Cost,1000000
p10,evmc_shape_1,bin4,2025,Cost,1000000
p10,evmc_shape_1,bin4,2030,Cost,1000000
p10,evmc_shape_1,bin4,2035,Cost,1000000
p10,evmc_shape_1,bin4,2040,Cost,1000000
p10,evmc_shape_1,bin5,2010,Cost,1000000
p10,evmc_shape_1,bin5,2020,Cost,1000000
p10,evmc_shape_1,bin5,2025,Cost,1000000
p10,evmc_shape_1,bin5,2030,Cost,1000000
p10,evmc_shape_1,bin5,2035,Cost,1000000
p10,evmc_shape_1,bin5,2040,Cost,1000000
p10,evmc_shape_1,bin1,2010,Cap,0
p10,evmc_shape_1,bin1,2020,Cap,0
p10,evmc_shape_1,bin1,2025,Cap,0
p10,evmc_shape_1,bin1,2030,Cap,0
p10,evmc_shape_1,bin1,2035,Cap,0
p10,evmc_shape_1,bin1,2040,Cap,0
p10,evmc_shape_1,bin2,2010,Cap,0
p10,evmc_shape_1,bin2,2020,Cap,0
p10,evmc_shape_1,bin2,2025,Cap,0
p10,evmc_shape_1,bin2,2030,Cap,0
p10,evmc_shape_1,bin2,2035,Cap,0
p10,evmc_shape_1,bin2,2040,Cap,0
p10,evmc_shape_1,bin3,2010,Cap,0
p10,evmc_shape_1,bin3,2020,Cap,0
p10,evmc_shape_1,bin3,2025,Cap,0
p10,evmc_shape_1,bin3,2030,Cap,0
p10,evmc_shape_1,bin3,2035,Cap,0
p10,evmc_shape_1,bin3,2040,Cap,0
p10,evmc_shape_1,bin4,2010,Cap,0
p10,evmc_shape_1,bin4,2020,Cap,0
p10,evmc_shape_1,bin4,2025,Cap,0
p10,evmc_shape_1,bin4,2030,Cap,0
p10,evmc_shape_1,bin4,2035,Cap,0
p10,evmc_shape_1,bin4,2040,Cap,0
p10,evmc_shape_1,bin5,2010,Cap,0
p10,evmc_shape_1,bin5,2020,Cap,0
p10,evmc_shape_1,bin5,2025,Cap,0
p10,evmc_shape_1,bin5,2030,Cap,0
p10,evmc_shape_1,bin5,2035,Cap,0
p10,evmc_shape_1,bin5,2040,Cap,0
p10,evmc_shape_2,bin1,2010,Cost,1000000
p10,evmc_shape_2,bin1,2020,Cost,1000000
p10,evmc_shape_2,bin1,2025,Cost,1000000
p10,evmc_shape_2,bin1,2030,Cost,1000000
p10,evmc_shape_2,bin1,2035,Cost,1000000
p10,evmc_shape_2,bin1,2040,Cost,1000000
p10,evmc_shape_2,bin2,2010,Cost,1000000
p10,evmc_shape_2,bin2,2020,Cost,1000000
p10,evmc_shape_2,bin2,2025,Cost,1000000
p10,evmc_shape_2,bin2,2030,Cost,1000000
p10,evmc_shape_2,bin2,2035,Cost,1000000
p10,evmc_shape_2,bin2,2040,Cost,1000000
p10,evmc_shape_2,bin3,2010,Cost,1000000
p10,evmc_shape_2,bin3,2020,Cost,1000000
p10,evmc_shape_2,bin3,2025,Cost,1000000
p10,evmc_shape_2,bin3,2030,Cost,1000000
p10,evmc_shape_2,bin3,2035,Cost,1000000
p10,evmc_shape_2,bin3,2040,Cost,1000000
p10,evmc_shape_2,bin4,2010,Cost,1000000
p10,evmc_shape_2,bin4,2020,Cost,1000000
p10,evmc_shape_2,bin4,2025,Cost,1000000
p10,evmc_shape_2,bin4,2030,Cost,1000000
p10,evmc_shape_2,bin4,2035,Cost,1000000
p10,evmc_shape_2,bin4,2040,Cost,1000000
p10,evmc_shape_2,bin5,2010,Cost,1000000
p10,evmc_shape_2,bin5,2020,Cost,1000000
p10,evmc_shape_2,bin5,2025,Cost,1000000
p10,evmc_shape_2,bin5,2030,Cost,1000000
p10,evmc_shape_2,bin5,2035,Cost,1000000
p10,evmc_shape_2,bin5,2040,Cost,1000000
p10,evmc_shape_2,bin1,2010,Cap,0
p10,evmc_shape_2,bin1,2020,Cap,0
p10,evmc_shape_2,bin1,2025,Cap,0
p10,evmc_shape_2,bin1,2030,Cap,0
p10,evmc_shape_2,bin1,2035,Cap,0
p10,evmc_shape_2,bin1,2040,Cap,0
p10,evmc_shape_2,bin2,2010,Cap,0
p10,evmc_shape_2,bin2,2020,Cap,0
p10,evmc_shape_2,bin2,2025,Cap,0
p10,evmc_shape_2,bin2,2030,Cap,0
p10,evmc_shape_2,bin2,2035,Cap,0
p10,evmc_shape_2,bin2,2040,Cap,0
p10,evmc_shape_2,bin3,2010,Cap,0
p10,evmc_shape_2,bin3,2020,Cap,0
p10,evmc_shape_2,bin3,2025,Cap,0
p10,evmc_shape_2,bin3,2030,Cap,0
p10,evmc_shape_2,bin3,2035,Cap,0
p10,evmc_shape_2,bin3,2040,Cap,0
p10,evmc_shape_2,bin4,2010,Cap,0
p10,evmc_shape_2,bin4,2020,Cap,0
p10,evmc_shape_2,bin4,2025,Cap,0
p10,evmc_shape_2,bin4,2030,Cap,0
p10,evmc_shape_2,bin4,2035,Cap,0
