r,rs,i,h,value
Andhra_Pradesh,3,UPV,H32,0.553519262295082
Andhra_Pradesh,3,UPV,H34,0
Andhra_Pradesh,3,UPV,H31,0.263791803278688
Andhra_Pradesh,3,UPV,H29,0
Andhra_Pradesh,3,UPV,H35,0
Andhra_Pradesh,3,UPV,H30,0
Andhra_Pradesh,3,UPV,H33,0.240240983606557
Andhra_Pradesh,3,UPV,H25,0.452276358695652
Andhra_Pradesh,3,UPV,H27,0.010005775075988
Andhra_Pradesh,3,UPV,H24,0.208147010869565
Andhra_Pradesh,3,UPV,H22,0
Andhra_Pradesh,3,UPV,H28,0.0037825
Andhra_Pradesh,3,UPV,H23,0
Andhra_Pradesh,3,UPV,H26,0.245325090909091
Andhra_Pradesh,3,UPV,H11,0.607850847457627
Andhra_Pradesh,3,UPV,H13,0.011437755102041
Andhra_Pradesh,3,UPV,H10,0.240311016949152
Andhra_Pradesh,3,UPV,H8,0
Andhra_Pradesh,3,UPV,H14,0
Andhra_Pradesh,3,UPV,H9,0
Andhra_Pradesh,3,UPV,H12,0.362362711864407
Andhra_Pradesh,3,UPV,H18,0.535035604395604
Andhra_Pradesh,3,UPV,H20,0
Andhra_Pradesh,3,UPV,H17,0.199941318681319
Andhra_Pradesh,3,UPV,H15,0
Andhra_Pradesh,3,UPV,H21,0
Andhra_Pradesh,3,UPV,H16,0
Andhra_Pradesh,3,UPV,H19,0.177595970695971
Andhra_Pradesh,3,UPV,H4,0.570779838709678
Andhra_Pradesh,3,UPV,H6,0.000338942307692
Andhra_Pradesh,3,UPV,H3,0.29741935483871
Andhra_Pradesh,3,UPV,H1,0
Andhra_Pradesh,3,UPV,H7,0
Andhra_Pradesh,3,UPV,H2,0
Andhra_Pradesh,3,UPV,H5,0.298753225806451
Andhra_Pradesh,3,ONSWIND,H32,0.104825409836066
Andhra_Pradesh,3,ONSWIND,H34,0.229492647058824
Andhra_Pradesh,3,ONSWIND,H31,0.094193442622951
Andhra_Pradesh,3,ONSWIND,H29,0.142859836065574
Andhra_Pradesh,3,ONSWIND,H35,0.17
Andhra_Pradesh,3,ONSWIND,H30,0.119606557377049
Andhra_Pradesh,3,ONSWIND,H33,0.120990710382514
Andhra_Pradesh,3,ONSWIND,H25,0.339641304347826
Andhra_Pradesh,3,ONSWIND,H27,0.263028571428572
Andhra_Pradesh,3,ONSWIND,H24,0.337558695652174
Andhra_Pradesh,3,ONSWIND,H22,0.227698913043478
Andhra_Pradesh,3,ONSWIND,H28,0.26844
Andhra_Pradesh,3,ONSWIND,H23,0.279023550724638
Andhra_Pradesh,3,ONSWIND,H26,0.302685454545455
Andhra_Pradesh,3,ONSWIND,H11,0.054313983050848
Andhra_Pradesh,3,ONSWIND,H13,0.314141836734694
Andhra_Pradesh,3,ONSWIND,H10,0.035358474576271
Andhra_Pradesh,3,ONSWIND,H8,0.137313559322034
Andhra_Pradesh,3,ONSWIND,H14,0.2594275
Andhra_Pradesh,3,ONSWIND,H9,0.080385875706215
Andhra_Pradesh,3,ONSWIND,H12,0.123349152542373
Andhra_Pradesh,3,ONSWIND,H18,0.218535384615385
Andhra_Pradesh,3,ONSWIND,H20,0.332774248927039
Andhra_Pradesh,3,ONSWIND,H17,0.189497582417582
Andhra_Pradesh,3,ONSWIND,H15,0.203747472527473
