allt,i,cost_cap,cost_fom,cost_vom,heat_rate
2017,ONSWIND,66600000,666000,0,0
2018,ONSWIND,66600000,666000,0,0
2019,ONSWIND,66600000,666000,0,0
2020,ONSWIND,66600000,666000,0,0
2021,ONSWIND,66180000,661800,0,0
2022,ONSWIND,65760000,657600,0,0
2023,ONSWIND,65340000,653400,0,0
2024,ONSWIND,64920000,649200,0,0
2025,ONSWIND,64500000,645000,0,0
2026,ONSWIND,64080000,640800,0,0
2027,ONSWIND,63660000,636600,0,0
2028,ONSWIND,63240000,632400,0,0
2029,ONSWIND,62820000,628200,0,0
2030,ONSWIND,62400000,624000,0,0
2031,ONSWIND,62200000,622000,0,0
2032,ONSWIND,62000000,620000,0,0
2033,ONSWIND,61800000,618000,0,0
2034,ONSWIND,61600000,616000,0,0
2035,ONSWIND,61400000,614000,0,0
2036,ONSWIND,61200000,612000,0,0
2037,ONSWIND,61000000,610000,0,0
2038,ONSWIND,60800000,608000,0,0
2039,ONSWIND,60600000,606000,0,0
2040,ONSWIND,60400000,604000,0,0
2041,ONSWIND,60270000,602700,0,0
2042,ONSWIND,60140000,601400,0,0
2043,ONSWIND,60010000,600100,0,0
2044,ONSWIND,59880000,598800,0,0
2045,ONSWIND,59750000,597500,0,0
2046,ONSWIND,59620000,596200,0,0
2047,ONSWIND,59490000,594900,0,0
2048,ONSWIND,59360000,593600,0,0
2049,ONSWIND,59230000,592300,0,0
2050,ONSWIND,59100000,591000,0,0
2017,OFSWIND,144650384.4,1789476.852,0,0
2018,OFSWIND,144650384.4,1789476.852,0,0
2019,OFSWIND,144650384.4,1789476.852,0,0
2020,OFSWIND,144650384.4,1789476.852,0,0
2021,OFSWIND,143738174.8,1778191.863,0,0
2022,OFSWIND,142825965.2,1766906.874,0,0
2023,OFSWIND,141913755.5,1755621.885,0,0
2024,OFSWIND,141001545.9,1744336.896,0,0
2025,OFSWIND,140089336.3,1733051.906,0,0
2026,OFSWIND,139177126.6,1721766.917,0,0
2027,OFSWIND,138264917,1710481.928,0,0
2028,OFSWIND,137352707.4,1699196.939,0,0
2029,OFSWIND,136440497.7,1687911.95,0,0
2030,OFSWIND,135528288.1,1676626.961,0,0
2031,OFSWIND,135093902.6,1671253.156,0,0
2032,OFSWIND,134659517,1665879.352,0,0
2033,OFSWIND,134225131.5,1660505.548,0,0
2034,OFSWIND,133790746,1655131.743,0,0
2035,OFSWIND,133356360.4,1649757.939,0,0
2036,OFSWIND,132921974.9,1644384.134,0,0
2037,OFSWIND,132487589.3,1639010.33,0,0
2038,OFSWIND,132053203.8,1633636.526,0,0
2039,OFSWIND,131618818.3,1628262.721,0,0
2040,OFSWIND,131184432.7,1622888.917,0,0
