GSw_GenMandateScen,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
20,0,0,0,0,0,0,0.1,0.1042,0.1083,0.1125,0.1167,0.1208,0.125,0.1292,0.1333,0.1375,0.1417,0.1458,0.15,0.1542,0.1583,0.1625,0.1667,0.1708,0.175,0.1792,0.1833,0.1875,0.1917,0.1958,0.2
40,0,0,0,0,0,0,0.1,0.1125,0.125,0.1375,0.15,0.1625,0.175,0.1875,0.2,0.2125,0.225,0.2375,0.25,0.2625,0.275,0.2875,0.3,0.3125,0.325,0.3375,0.35,0.3625,0.375,0.3875,0.4
60,0,0,0,0,0,0,0.1,0.1208,0.1417,0.1625,0.1833,0.2042,0.225,0.2458,0.2667,0.2875,0.3083,0.3292,0.35,0.3708,0.3917,0.4125,0.4333,0.4542,0.475,0.4958,0.5167,0.5375,0.5583,0.5792,0.6
80,0,0,0,0,0,0,0.1,0.1292,0.1583,0.1875,0.2167,0.2458,0.275,0.3042,0.3333,0.3625,0.3917,0.4208,0.45,0.4792,0.5083,0.5375,0.5667,0.5958,0.625,0.6542,0.6833,0.7125,0.7417,0.7708,0.8
90,0,0,0,0,0,0,0.1,0.1333,0.1667,0.2,0.2333,0.2667,0.3,0.3333,0.3667,0.4,0.4333,0.4667,0.5,0.5333,0.5667,0.6,0.6333,0.6667,0.7,0.7333,0.7667,0.8,0.8333,0.8667,0.9
100,0,0,0,0,0,0,0.1,0.1375,0.175,0.2125,0.25,0.2875,0.325,0.3625,0.4,0.4375,0.475,0.5125,0.55,0.5875,0.625,0.6625,0.7,0.7375,0.775,0.8125,0.85,0.8875,0.925,0.9625,1
80_2030,0.2,0.29375,0.3875,0.48125,0.575,0.66875,0.7625,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
90_2030,0.2,0.29375,0.3875,0.48125,0.575,0.66875,0.7625,0.85625,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
95_2030,0.2,0.29375,0.3875,0.48125,0.575,0.66875,0.7625,0.85625,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
97_2030,0.2,0.29375,0.3875,0.48125,0.575,0.66875,0.7625,0.85625,0.95,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97
