*st,t,MW
CA,2019,309.8
CA,2020,1325
CA,2021,1325
CA,2022,1325
CA,2023,1325
CA,2024,1325
CA,2025,1325
CA,2026,1325
CA,2027,1325
CA,2028,2325
CA,2029,2325
CA,2030,2325
CA,2031,2325
CA,2032,2325
CA,2033,2325
CA,2034,2325
CA,2035,2325
CA,2036,2325
CA,2037,2325
CA,2038,2325
CA,2039,2325
CA,2040,2325
CA,2041,2325
CA,2042,2325
CA,2043,2325
CA,2044,2325
CA,2045,2325
CA,2046,2325
CA,2047,2325
CA,2048,2325
CA,2049,2325
CA,2050,2325
MA,2019,50
MA,2020,50
MA,2021,50
MA,2022,50
MA,2023,50
MA,2024,50
MA,2025,50
MA,2026,50
MA,2027,50
MA,2028,50
MA,2029,50
MA,2030,50
MA,2031,50
MA,2032,50
MA,2033,50
MA,2034,50
MA,2035,50
MA,2036,50
MA,2037,50
MA,2038,50
MA,2039,50
MA,2040,50
MA,2041,50
MA,2042,50
MA,2043,50
MA,2044,50
MA,2045,50
MA,2046,50
MA,2047,50
MA,2048,50
MA,2049,50
MA,2050,50
MD,2023,7
MD,2024,306.3
MD,2025,605.6
MD,2026,904.9
MD,2027,1204.2
MD,2028,1503.5
MD,2029,1802.8
MD,2030,2102.1
MD,2031,2401.4
MD,2032,2700.7
MD,2033,3000
MD,2034,3000
MD,2035,3000
MD,2036,3000
MD,2037,3000
MD,2038,3000
MD,2039,3000
MD,2040,3000
MD,2041,3000
MD,2042,3000
MD,2043,3000
MD,2044,3000
MD,2045,3000
MD,2046,3000
MD,2047,3000
MD,2048,3000
MD,2049,3000
MD,2050,3000
MI,2024,2145
MI,2025,2204.166667
MI,2026,2263.333333
MI,2027,2322.5
MI,2028,2381.666667
MI,2029,2440.833333
MI,2030,2500
MI,2031,2500
MI,2032,2500
MI,2033,2500
MI,2034,2500
MI,2035,2500
MI,2036,2500
MI,2037,2500
MI,2038,2500
MI,2039,2500
MI,2040,2500
MI,2041,2500
MI,2042,2500
MI,2043,2500
MI,2044,2500
MI,2045,2500
MI,2046,2500
MI,2047,2500
MI,2048,2500
MI,2049,2500
MI,2050,2500
NJ,2019,300
NJ,2020,600
NJ,2021,755.6
NJ,2022,911.1
NJ,2023,1066.7
NJ,2024,1222.2
NJ,2025,1377.8
NJ,2026,1533.3
NJ,2027,1688.9
NJ,2028,1844.4
NJ,2029,2000
NJ,2030,2000
NJ,2031,2000
NJ,2032,2000
NJ,2033,2000
NJ,2034,2000
NJ,2035,2000
NJ,2036,2000
NJ,2037,2000
NJ,2038,2000
NJ,2039,2000
NJ,2040,2000
NJ,2041,2000
NJ,2042,2000
NJ,2043,2000
NJ,2044,2000
NJ,2045,2000
NJ,2046,2000
NJ,2047,2000
NJ,2048,2000
NJ,2049,2000
NJ,2050,2000
NV,2022,200
NV,2023,200
NV,2024,400
NV,2025,400
NV,2026,600
NV,2027,600
NV,2028,800
NV,2029,800
NV,2030,1000
NV,2031,1000
NV,2032,1000
NV,2033,1000
NV,2034,1000
NV,2035,1000
NV,2036,1000
NV,2037,1000
NV,2038,1000
NV,2039,1000
NV,2040,1000
NV,2041,1000
NV,2042,1000
NV,2043,1000
NV,2044,1000
NV,2045,1000
NV,2046,1000
NV,2047,1000
NV,2048,1000
NV,2049,1000
NV,2050,1000
NY,2019,250
NY,2020,500
NY,2021,750
NY,2022,1000
NY,2023,1250
NY,2024,1500
NY,2025,1750
NY,2026,2000
NY,2027,2250
NY,2028,2500
NY,2029,2750
NY,2030,3000
NY,2031,3000
NY,2032,3000
NY,2033,3000
NY,2034,3000
NY,2035,3000
NY,2036,3000
NY,2037,3000
NY,2038,3000
NY,2039,3000
NY,2040,3000
NY,2041,3000
NY,2042,3000
NY,2043,3000
NY,2044,3000
NY,2045,3000
NY,2046,3000
NY,2047,3000
NY,2048,3000
NY,2049,3000
NY,2050,3000
OR,2019,2.5
OR,2020,2.5
OR,2021,2.5
OR,2022,2.5
OR,2023,2.5
OR,2024,2.5
OR,2025,2.5
OR,2026,2.5
OR,2027,2.5
OR,2028,2.5
OR,2029,2.5
OR,2030,2.5
OR,2031,2.5
OR,2032,2.5
OR,2033,2.5
OR,2034,2.5
OR,2035,2.5
OR,2036,2.5
OR,2037,2.5
OR,2038,2.5
OR,2039,2.5
OR,2040,2.5
OR,2041,2.5
OR,2042,2.5
OR,2043,2.5
OR,2044,2.5
OR,2045,2.5
OR,2046,2.5
OR,2047,2.5
OR,2048,2.5
OR,2049,2.5
OR,2050,2.5
VA,2020,42.7
VA,2021,248.3
VA,2022,248.3
VA,2023,248.3
VA,2024,248.3
VA,2025,275
VA,2026,275
VA,2027,275
VA,2028,275
VA,2029,275
VA,2030,1350
VA,2031,1350
VA,2032,1350
VA,2033,1350
VA,2034,1350
VA,2035,3100
VA,2036,3100
VA,2037,3100
VA,2038,3100
VA,2039,3100
VA,2040,3100
VA,2041,3100
VA,2042,3100
VA,2043,3100
VA,2044,3100
VA,2045,3100
VA,2046,3100
VA,2047,3100
VA,2048,3100
VA,2049,3100
VA,2050,3100
