t,st,rps_all,rps_solar,rps_wind
2010,AZ,0.0147000856920383,0.0,0.0
2011,AZ,0.0175737750355804,0.0,0.0
2012,AZ,0.0207471408763717,0.0,0.0
2013,AZ,0.0235084649575674,0.0,0.0
2014,AZ,0.0262111981790624,0.0,0.0
2015,AZ,0.0294953222714371,0.0,0.0
2016,AZ,0.0352425344992445,0.0,0.0
2017,AZ,0.0410070079168953,0.0,0.0
2018,AZ,0.046557045225467,0.0,0.0
2019,AZ,0.0514327763130071,0.0,0.0
2020,AZ,0.0587344900285884,0.0,0.0
2021,AZ,0.0646195807788038,0.0,0.0
2022,AZ,0.0705904925438988,0.0,0.0
2023,AZ,0.0765415030227378,0.0,0.0
2024,AZ,0.0824293109475638,0.0,0.0
2025,AZ,0.0883171188723898,0.0,0.0
2026,AZ,0.0883171188723898,0.0,0.0
2027,AZ,0.0883171188723898,0.0,0.0
2028,AZ,0.0883171188723898,0.0,0.0
2029,AZ,0.0883171188723898,0.0,0.0
2030,AZ,0.0883171188723898,0.0,0.0
2031,AZ,0.0883171188723898,0.0,0.0
2032,AZ,0.0883171188723898,0.0,0.0
2033,AZ,0.0883171188723898,0.0,0.0
2034,AZ,0.0883171188723898,0.0,0.0
2035,AZ,0.0883171188723898,0.0,0.0
2036,AZ,0.0883171188723898,0.0,0.0
2037,AZ,0.0883171188723898,0.0,0.0
2038,AZ,0.0883171188723898,0.0,0.0
2039,AZ,0.0883171188723898,0.0,0.0
2040,AZ,0.0883171188723898,0.0,0.0
2041,AZ,0.0883171188723898,0.0,0.0
2042,AZ,0.0883171188723898,0.0,0.0
2043,AZ,0.0883171188723898,0.0,0.0
2044,AZ,0.0883171188723898,0.0,0.0
2045,AZ,0.0883171188723898,0.0,0.0
2046,AZ,0.0883171188723898,0.0,0.0
2047,AZ,0.0883171188723898,0.0,0.0
2048,AZ,0.0883171188723898,0.0,0.0
2049,AZ,0.0883171188723897,0.0,0.0
2050,AZ,0.0883171188723897,0.0,0.0
2010,CA,0.1687749051001499,0.0,0.0
2011,CA,0.1972831476489689,0.0,0.0
2012,CA,0.1973249510477631,0.0,0.0
2013,CA,0.1972417408310773,0.0,0.0
2014,CA,0.2085368616184435,0.0,0.0
2015,CA,0.2208675531454824,0.0,0.0
2016,CA,0.2450391128521983,0.0,0.0
2017,CA,0.2639269015853366,0.0,0.0
2018,CA,0.2837526401864058,0.0,0.0
2019,CA,0.3020471875734475,0.0,0.0
2020,CA,0.3193346359114227,0.0,0.0
2021,CA,0.3465638403013428,0.0,0.0
2022,CA,0.3736869734939639,0.0,0.0
2023,CA,0.3994319697443771,0.0,0.0
2024,CA,0.4269971915279128,0.0,0.0
2025,CA,0.4545624133114485,0.0,0.0
2026,CA,0.47906074845985464,0.0,0.0
2027,CA,0.5035590836082608,0.0,0.0
2028,CA,0.528057418756667,0.0,0.0
2029,CA,0.5541653649044143,0.0,0.0
2030,CA,0.5802733110521615,0.0,0.0
2031,CA,0.5802691371418228,0.0,0.0
2032,CA,0.5802638502236829,0.0,0.0
2033,CA,0.5802591198094436,0.0,0.0
2034,CA,0.5802543893952042,0.0,0.0
2035,CA,0.5802496589809649,0.0,0.0
2036,CA,0.5802449285667256,0.0,0.0
2037,CA,0.5802401981524863,0.0,0.0
2038,CA,0.580235467738247,0.0,0.0
2039,CA,0.5802307373240077,0.0,0.0
2040,CA,0.5802260069097683,0.0,0.0
2041,CA,0.580221276495529,0.0,0.0
2042,CA,0.5802165460812897,0.0,0.0
2043,CA,0.5802118156670504,0.0,0.0
2044,CA,0.5802070852528111,0.0,0.0
2045,CA,0.5802023548385717,0.0,0.0
2046,CA,0.5801976244243324,0.0,0.0
2047,CA,0.5801928940100931,0.0,0.0
2048,CA,0.5801881635958538,0.0,0.0
2049,CA,0.5801834331816145,0.0,0.0
2050,CA,0.5801787027673752,0.0,0.0
2010,CO,0.0247340283535652,0.0,0.0
2011,CO,0.0613395553615037,0.0,0.0
2012,CO,0.062493756879127,0.0,0.0
2013,CO,0.0628213167191788,0.0,0.0
2014,CO,0.0626795588249282,0.0,0.0
2015,CO,0.1071664612041437,0.0,0.0
